(7.9940059940059935, (11, 0, 0), (5, 5))
(11.146386946386947, (11, 0, 0), (4, 6))
(11.883916083916084, (10, 0, 0), (4, 5))
(11.9250666000666, (11, 0, 0), (3, 7))
(11.939460539460539, (11, 0, 0), (2, 8))
(12.077922077922077, (11, 0, 0), (1, 9))
(12.686297036297036, (10, 0, 0), (3, 6))
(12.76497668997669, (10, 0, 0), (2, 7))
(13.029370629370629, (10, 0, 0), (1, 8))
(13.195454545454545, (9, 0, 0), (3, 5))
(13.297835497835498, (9, 0, 0), (2, 6))
(13.626515151515152, (9, 0, 0), (1, 7))
(13.681060606060607, (8, 0, 0), (2, 5))
(14.03344155844156, (8, 0, 0), (1, 6))
(14.352380952380953, (7, 0, 0), (1, 5))
(15.167832167832167, (10, 0, 0), (0, 9))
(15.545454545454547, (9, 0, 0), (4, 4))
(15.89090909090909, (9, 0, 0), (0, 8))
(16.36212121212121, (8, 0, 0), (0, 7))
(16.704761904761902, (7, 0, 0), (0, 6))
(16.731060606060606, (8, 0, 0), (3, 4))
(17.0, (6, 0, 0), (0, 5))
(17.152380952380952, (7, 0, 0), (2, 4))
(17.8, (6, 0, 0), (1, 4))
(17.85238095238095, (7, 0, 0), (3, 3))
(18.25, (6, 0, 0), (2, 3))
(21.8, (5, 0, 0), (2, 2))
(22.05, (5, 0, 0), (1, 3))
(23.25, (4, 0, 0), (1, 2))
(23.6, (5, 0, 0), (0, 4))
(24.0, (3, 0, 0), (1, 1))
(25.5, (4, 0, 0), (0, 3))
(26.0, (3, 0, 0), (0, 2))
(27.0, (2, 0, 0), (0, 1))
(32.0, (1, 0, 0), (0, 0))
(-32.76474661701934, (11, 11, 0), (1, 9, 1, 9))
(-27.44649058490142, (11, 11, 0), (1, 9, 2, 8))
(-27.44649058490142, (11, 11, 0), (2, 8, 1, 9))
(-24.844474400937113, (11, 11, 0), (1, 9, 3, 7))
(-24.84447440093711, (11, 11, 0), (3, 7, 1, 9))
(-24.154538963098844, (11, 11, 0), (1, 9, 5, 5))
(-24.154538963098844, (11, 11, 0), (5, 5, 1, 9))
(-23.955914728716095, (11, 11, 0), (1, 9, 4, 6))
(-23.955914728716095, (11, 11, 0), (4, 6, 1, 9))
(-23.12297044110062, (11, 11, 0), (2, 8, 2, 8))
(-21.045247874654983, (10, 11, 0), (0, 9, 1, 9))
(-21.045247874654983, (11, 10, 0), (1, 9, 0, 9))
(-20.64912217875431, (11, 11, 0), (2, 8, 3, 7))
(-20.64912217875431, (11, 11, 0), (3, 7, 2, 8))
(-20.178699966839872, (11, 11, 0), (2, 8, 5, 5))
(-20.178699966839872, (11, 11, 0), (5, 5, 2, 8))
(-19.972632047258024, (11, 11, 0), (2, 8, 4, 6))
(-19.972632047258024, (11, 11, 0), (4, 6, 2, 8))
(-18.42658710776207, (11, 11, 0), (3, 7, 3, 7))
(-18.08538212787422, (11, 11, 0), (3, 7, 5, 5))
(-18.08538212787422, (11, 11, 0), (5, 5, 3, 7))
(-17.868730721973865, (11, 11, 0), (3, 7, 4, 6))
(-17.868730721973865, (11, 11, 0), (4, 6, 3, 7))
(-17.809450438265706, (11, 11, 0), (5, 5, 5, 5))
(-17.589214138617642, (11, 11, 0), (4, 6, 5, 5))
(-17.589214138617642, (11, 11, 0), (5, 5, 4, 6))
(-17.367208492536367, (11, 11, 0), (4, 6, 4, 6))
(-17.138468639397487, (10, 11, 0), (0, 9, 2, 8))
(-17.138468639397487, (11, 10, 0), (2, 8, 0, 9))
(-16.549889826905634, (10, 11, 0), (1, 8, 1, 9))
(-16.549889826905634, (11, 10, 0), (1, 9, 1, 8))
(-15.765735409435159, (10, 11, 0), (0, 9, 5, 5))
(-15.765735409435159, (11, 10, 0), (5, 5, 0, 9))
(-15.243547729553981, (10, 11, 0), (0, 9, 4, 6))
(-15.243547729553981, (11, 10, 0), (4, 6, 0, 9))
(-15.18468266466531, (10, 11, 0), (0, 9, 3, 7))
(-15.18468266466531, (11, 10, 0), (3, 7, 0, 9))
(-13.70623102085753, (10, 11, 0), (2, 7, 1, 9))
(-13.70623102085753, (11, 10, 0), (1, 9, 2, 7))
(-13.55174813386692, (10, 11, 0), (1, 8, 2, 8))
(-13.55174813386692, (11, 10, 0), (2, 8, 1, 8))
(-12.522616532451668, (11, 10, 0), (1, 9, 3, 6))
(-12.522616532451666, (10, 11, 0), (3, 6, 1, 9))
(-12.449112551912084, (10, 11, 0), (4, 5, 1, 9))
(-12.449112551912084, (11, 10, 0), (1, 9, 4, 5))
(-12.37147904622941, (10, 11, 0), (1, 8, 5, 5))
(-12.37147904622941, (11, 10, 0), (5, 5, 1, 8))
(-12.224503235375892, (10, 11, 0), (1, 8, 3, 7))
(-12.22450323537589, (11, 10, 0), (3, 7, 1, 8))
(-11.972860002161449, (10, 11, 0), (1, 8, 4, 6))
(-11.972860002161449, (11, 10, 0), (4, 6, 1, 8))
(-11.602131564088083, (10, 10, 0), (0, 9, 0, 9))
(-11.3471635735049, (10, 11, 0), (2, 7, 2, 8))
(-11.3471635735049, (11, 10, 0), (2, 8, 2, 7))
(-10.193999862073, (10, 11, 0), (2, 7, 5, 5))
(-10.193999862072998, (11, 10, 0), (5, 5, 2, 7))
(-10.108376746759129, (10, 11, 0), (4, 5, 2, 8))
(-10.108376746759129, (11, 10, 0), (2, 8, 4, 5))
(-10.08767012008114, (11, 10, 0), (2, 8, 3, 6))
(-10.087670120081139, (10, 11, 0), (3, 6, 2, 8))
(-9.952772461189785, (10, 11, 0), (2, 7, 3, 7))
(-9.952772461189785, (11, 10, 0), (3, 7, 2, 7))
(-9.816238886163804, (10, 11, 0), (2, 7, 4, 6))
(-9.816238886163804, (11, 10, 0), (4, 6, 2, 7))
(-9.228865025250503, (10, 11, 0), (4, 5, 5, 5))
(-9.228865025250503, (11, 10, 0), (5, 5, 4, 5))
(-9.168098212722718, (9, 11, 0), (0, 8, 1, 9))
(-9.168098212722718, (11, 9, 0), (1, 9, 0, 8))
(-9.131989021137658, (10, 11, 0), (3, 6, 5, 5))
(-9.131989021137658, (11, 10, 0), (5, 5, 3, 6))
(-8.906831081596978, (10, 11, 0), (4, 5, 3, 7))
(-8.906831081596978, (11, 10, 0), (3, 7, 4, 5))
(-8.857960955856829, (10, 11, 0), (4, 5, 4, 6))
(-8.857960955856829, (11, 10, 0), (4, 6, 4, 5))
(-8.832528486006744, (10, 10, 0), (0, 9, 1, 8))
(-8.832528486006744, (10, 10, 0), (1, 8, 0, 9))
(-8.832400417362507, (10, 11, 0), (3, 6, 3, 7))
(-8.832400417362507, (11, 10, 0), (3, 7, 3, 6))
(-8.758988571233736, (10, 11, 0), (3, 6, 4, 6))
(-8.758988571233736, (11, 10, 0), (4, 6, 3, 6))
(-7.147337391043186, (11, 9, 0), (1, 9, 1, 7))
(-7.147337391043185, (9, 11, 0), (1, 7, 1, 9))
(-7.133677339478315, (9, 11, 0), (0, 8, 5, 5))
(-7.133677339478315, (11, 9, 0), (5, 5, 0, 8))
(-6.957610045918763, (11, 9, 0), (2, 8, 0, 8))
(-6.95761004591876, (9, 11, 0), (0, 8, 2, 8))
(-6.7834720709305945, (10, 10, 0), (0, 9, 2, 7))
(-6.783472070930593, (10, 10, 0), (2, 7, 0, 9))
(-6.760464604045838, (10, 10, 0), (1, 8, 1, 8))
(-6.56063783623684, (10, 10, 0), (0, 9, 4, 5))
(-6.56063783623684, (10, 10, 0), (4, 5, 0, 9))
(-6.462140639737282, (9, 11, 0), (0, 8, 4, 6))
(-6.462140639737282, (11, 9, 0), (4, 6, 0, 8))
(-5.936384037521701, (11, 9, 0), (3, 7, 0, 8))
(-5.9363840375217, (9, 11, 0), (0, 8, 3, 7))
(-5.893379573773467, (10, 10, 0), (0, 9, 3, 6))
(-5.893379573773467, (10, 10, 0), (3, 6, 0, 9))
(-5.7220802805535245, (11, 9, 0), (1, 9, 2, 6))
(-5.722080280553524, (9, 11, 0), (2, 6, 1, 9))
(-5.537780788375128, (11, 9, 0), (5, 5, 1, 7))
(-5.537780788375127, (9, 11, 0), (1, 7, 5, 5))
(-5.4898251238269715, (9, 11, 0), (1, 7, 2, 8))
(-5.4898251238269715, (11, 9, 0), (2, 8, 1, 7))
