(2.9340659340659343, (5, 5))
(3.7732267732267744, (1, 9))
(7.678321678321679, (0, 9))
(11.443156843156842, (2, 8))
(14.348251748251748, (1, 8))
(15.01818181818182, (0, 8))
(17.382550782550783, (3, 7))
(18.400732600732603, (4, 6))
(18.8969696969697, (0, 7))
(19.957575757575757, (1, 7))
(20.28764568764569, (2, 7))
(20.933333333333337, (0, 6))
(22.0, (0, 5))
(22.915151515151518, (1, 6))
(24.46666666666667, (1, 5))
(24.975757575757576, (2, 6))
(25.30582750582751, (3, 6))
(25.83916083916084, (4, 5))
(27.44848484848485, (2, 5))
(29.509090909090908, (3, 5))
(32.0, (0, 0))
(38.0, (0, 1))
(41.0, (1, 4))
(44.46666666666667, (2, 4))
(45.0, (1, 1))
(45.0, (2, 3))
(45.50909090909091, (4, 4))
(46.0, (0, 2))
(47.448484848484846, (3, 4))
(48.46666666666667, (3, 3))
(53.0, (1, 2))
(54.0, (0, 3))
(54.0, (0, 4))
(57.0, (1, 3))
(57.0, (2, 2))
(-4310.494932893194, (1, 9, 1, 9))
(-3617.580071028716, (2, 8, 1, 9))
(-3617.5800710287153, (1, 9, 2, 8))
(-3261.231148895973, (1, 9, 3, 7))
(-3261.231148895973, (3, 7, 1, 9))
(-3094.7435091879006, (4, 6, 1, 9))
(-3094.7435091879, (1, 9, 4, 6))
(-3053.203281613617, (1, 9, 5, 5))
(-3053.2032816136166, (5, 5, 1, 9))
(-3036.5227584799104, (2, 8, 2, 8))
(-2994.7195804195803, (0, 9, 1, 9))
(-2994.71958041958, (1, 9, 0, 9))
(-2734.8706476885613, (2, 8, 3, 7))
(-2734.8706476885613, (3, 7, 2, 8))
(-2595.149818466184, (2, 8, 4, 6))
(-2595.149818466184, (4, 6, 2, 8))
(-2561.4605409738106, (2, 8, 5, 5))
(-2561.4605409738106, (5, 5, 2, 8))
(-2511.2903748425488, (0, 9, 2, 8))
(-2511.2903748425488, (2, 8, 0, 9))
(-2462.470673821176, (3, 7, 3, 7))
(-2336.580753215466, (3, 7, 4, 6))
(-2336.580753215466, (4, 6, 3, 7))
(-2306.9502495601946, (3, 7, 5, 5))
(-2306.9502495601946, (5, 5, 3, 7))
(-2297.775242149155, (1, 8, 1, 9))
(-2297.775242149155, (1, 9, 1, 8))
(-2261.1224667960028, (0, 9, 3, 7))
(-2261.1224667960028, (3, 7, 0, 9))
(-2217.2349328851255, (4, 6, 4, 6))
(-2189.5256139275093, (4, 6, 5, 5))
(-2189.5256139275093, (5, 5, 4, 6))
(-2162.3804367105054, (5, 5, 5, 5))
(-2147.6509805938667, (0, 9, 4, 6))
(-2147.6509805938667, (4, 6, 0, 9))
(-2121.0769304953583, (0, 9, 5, 5))
(-2121.0769304953583, (5, 5, 0, 9))
(-2080.67219736785, (0, 9, 0, 9))
(-1931.4093193700005, (1, 9, 2, 7))
(-1931.4093193700003, (2, 7, 1, 9))
(-1925.3557337399443, (1, 8, 2, 8))
(-1925.3557337399443, (2, 8, 1, 8))
(-1748.8199252759623, (1, 9, 3, 6))
(-1748.8199252759623, (3, 6, 1, 9))
(-1734.168020318175, (1, 8, 3, 7))
(-1734.168020318175, (3, 7, 1, 8))
(-1674.918369246852, (1, 9, 4, 5))
(-1674.918369246852, (4, 5, 1, 9))
(-1645.6574837958738, (1, 8, 4, 6))
(-1645.6574837958738, (4, 6, 1, 8))
(-1626.9810038258954, (1, 8, 5, 5))
(-1626.9810038258954, (5, 5, 1, 8))
(-1618.8362452282763, (2, 7, 2, 8))
(-1618.8362452282763, (2, 8, 2, 7))
(-1596.5473873952137, (0, 8, 1, 9))
(-1596.5473873952137, (1, 9, 0, 8))
(-1594.9298049776312, (0, 9, 1, 8))
(-1594.9298049776307, (1, 8, 0, 9))
(-1463.2909568737, (2, 8, 3, 6))
(-1463.2909568737, (3, 6, 2, 8))
(-1455.5588771886792, (2, 7, 3, 7))
(-1455.5588771886792, (3, 7, 2, 7))
(-1401.432657897135, (2, 8, 4, 5))
(-1401.432657897135, (4, 5, 2, 8))
(-1381.1747537785495, (2, 7, 4, 6))
(-1381.1747537785495, (4, 6, 2, 7))
(-1366.6439607325863, (2, 7, 5, 5))
(-1366.6439607325863, (5, 5, 2, 7))
(-1338.516130932378, (0, 9, 2, 7))
(-1338.516130932378, (2, 7, 0, 9))
(-1335.6464672627144, (0, 8, 2, 8))
(-1335.6464672627144, (2, 8, 0, 8))
(-1315.0062415889847, (3, 6, 3, 7))
(-1315.0062415889847, (3, 7, 3, 6))
(-1259.3767855960614, (3, 7, 4, 5))
(-1259.3767855960614, (4, 5, 3, 7))
(-1247.717200805207, (3, 6, 4, 6))
(-1247.717200805207, (4, 6, 3, 6))
(-1235.2695638188704, (3, 6, 5, 5))
(-1235.2695638188704, (5, 5, 3, 6))
(-1226.1519882101118, (1, 7, 1, 9))
(-1226.1519882101118, (1, 9, 1, 7))
(-1220.3492576073813, (1, 8, 1, 8))
(-1209.2564094361242, (0, 9, 3, 6))
(-1209.2564094361242, (3, 6, 0, 9))
(-1200.2477396745132, (3, 7, 0, 8))
(-1200.247739674513, (0, 8, 3, 7))
(-1195.0371405146207, (4, 5, 4, 6))
(-1195.0371405146207, (4, 6, 4, 5))
(-1183.455743170994, (4, 5, 5, 5))
(-1183.455743170994, (5, 5, 4, 5))
(-1160.2670858598035, (0, 9, 4, 5))
(-1160.2670858598035, (4, 5, 0, 9))
(-1140.9974535313477, (0, 8, 4, 6))
(-1140.9974535313477, (4, 6, 0, 8))
